Name,variable,value,score
Paraguay,Population in urban agglomerations of more than 1 million (% of total population),46.32,9.00
Palestine,Population in urban agglomerations of more than 1 million (% of total population),,
French Polynesia,Population in urban agglomerations of more than 1 million (% of total population),,
Qatar,Population in urban agglomerations of more than 1 million (% of total population),,
Romania,Population in urban agglomerations of more than 1 million (% of total population),9.35,1.00
Russia,Population in urban agglomerations of more than 1 million (% of total population),23.19,6.00
Rwanda,Population in urban agglomerations of more than 1 million (% of total population),8.60,1.00
Saudi Arabia,Population in urban agglomerations of more than 1 million (% of total population),47.28,10.00
Sudan,Population in urban agglomerations of more than 1 million (% of total population),13.24,3.00
Senegal,Population in urban agglomerations of more than 1 million (% of total population),18.79,5.00
Singapore,Population in urban agglomerations of more than 1 million (% of total population),100.00,10.00
Sierra Leone,Population in urban agglomerations of more than 1 million (% of total population),14.85,3.00
El Salvador,Population in urban agglomerations of more than 1 million (% of total population),17.24,4.00
San Marino,Population in urban agglomerations of more than 1 million (% of total population),,
Somalia,Population in urban agglomerations of more than 1 million (% of total population),13.87,3.00
Serbia,Population in urban agglomerations of more than 1 million (% of total population),19.90,5.00
South Sudan,Population in urban agglomerations of more than 1 million (% of total population),,
Suriname,Population in urban agglomerations of more than 1 million (% of total population),,
Slovakia,Population in urban agglomerations of more than 1 million (% of total population),,
Slovenia,Population in urban agglomerations of more than 1 million (% of total population),,
Sweden,Population in urban agglomerations of more than 1 million (% of total population),15.54,4.00
Swaziland,Population in urban agglomerations of more than 1 million (% of total population),,
Sint Maarten (Dutch part),Population in urban agglomerations of more than 1 million (% of total population),,
Seychelles,Population in urban agglomerations of more than 1 million (% of total population),,
Syria,Population in urban agglomerations of more than 1 million (% of total population),31.75,8.00
Turks and Caicos Islands,Population in urban agglomerations of more than 1 million (% of total population),,
Chad,Population in urban agglomerations of more than 1 million (% of total population),8.55,1.00
Togo,Population in urban agglomerations of more than 1 million (% of total population),22.13,6.00
Thailand,Population in urban agglomerations of more than 1 million (% of total population),20.06,5.00
Timor,Population in urban agglomerations of more than 1 million (% of total population),,
Trinidad and Tobago,Population in urban agglomerations of more than 1 million (% of total population),,
Tunisia,Population in urban agglomerations of more than 1 million (% of total population),19.81,5.00
Turkey,Population in urban agglomerations of more than 1 million (% of total population),36.86,9.00
Tanzania,Population in urban agglomerations of more than 1 million (% of total population),12.52,2.00
Uganda,Population in urban agglomerations of more than 1 million (% of total population),6.99,1.00
Ukraine,Population in urban agglomerations of more than 1 million (% of total population),12.11,2.00
Uruguay,Population in urban agglomerations of more than 1 million (% of total population),50.36,10.00
United States,Population in urban agglomerations of more than 1 million (% of total population),46.26,9.00
Uzbekistan,Population in urban agglomerations of more than 1 million (% of total population),7.48,1.00
Saint Vincent and the Grenadines,Population in urban agglomerations of more than 1 million (% of total population),,
Venezuela,Population in urban agglomerations of more than 1 million (% of total population),32.35,8.00
British Virgin Islands,Population in urban agglomerations of more than 1 million (% of total population),,
United States Virgin Islands,Population in urban agglomerations of more than 1 million (% of total population),,
Vietnam,Population in urban agglomerations of more than 1 million (% of total population),16.91,4.00
Kosovo,Population in urban agglomerations of more than 1 million (% of total population),,
South Africa,Population in urban agglomerations of more than 1 million (% of total population),35.31,8.00
Zambia,Population in urban agglomerations of more than 1 million (% of total population),14.55,3.00
Zimbabwe,Population in urban agglomerations of more than 1 million (% of total population),10.49,2.00
Aruba,Population living in slums (% of urban population),,
Afghanistan,Population living in slums (% of urban population),62.70,8.00
Angola,Population living in slums (% of urban population),55.50,7.00
Albania,Population living in slums (% of urban population),,
Andorra,Population living in slums (% of urban population),,
United Arab Emirates,Population living in slums (% of urban population),,
Argentina,Population living in slums (% of urban population),16.70,2.00
Armenia,Population living in slums (% of urban population),14.40,2.00
Antigua and Barbuda,Population living in slums (% of urban population),4.80,1.00
Australia,Population living in slums (% of urban population),,
Austria,Population living in slums (% of urban population),,
Azerbaijan,Population living in slums (% of urban population),,
Burundi,Population living in slums (% of urban population),57.90,8.00
Belgium,Population living in slums (% of urban population),,
Benin,Population living in slums (% of urban population),61.50,8.00
Burkina Faso,Population living in slums (% of urban population),65.80,9.00
Bangladesh,Population living in slums (% of urban population),55.10,7.00
Bulgaria,Population living in slums (% of urban population),,
Bahrain,Population living in slums (% of urban population),,
Bahamas,Population living in slums (% of urban population),,
Bosnia and Herzegovina,Population living in slums (% of urban population),,
Belarus,Population living in slums (% of urban population),,
Belize,Population living in slums (% of urban population),10.80,1.00
Bermuda,Population living in slums (% of urban population),,
Bolivia,Population living in slums (% of urban population),43.50,6.00
Brazil,Population living in slums (% of urban population),22.30,3.00
Barbados,Population living in slums (% of urban population),,
Brunei,Population living in slums (% of urban population),,
Bhutan,Population living in slums (% of urban population),70.00,9.00
Botswana,Population living in slums (% of urban population),59.20,8.00
Central African Republic,Population living in slums (% of urban population),93.30,10.00
Canada,Population living in slums (% of urban population),,
Switzerland,Population living in slums (% of urban population),,
Chile,Population living in slums (% of urban population),9.00,1.00
China,Population living in slums (% of urban population),25.20,4.00
Cote d'Ivoire,Population living in slums (% of urban population),56.00,8.00
Cameroon,Population living in slums (% of urban population),37.80,5.00
Democratic Republic of Congo,Population living in slums (% of urban population),74.80,10.00
Congo,Population living in slums (% of urban population),46.90,6.00
Colombia,Population living in slums (% of urban population),13.10,2.00
Cape Verde,Population living in slums (% of urban population),70.30,9.00
Costa Rica,Population living in slums (% of urban population),5.50,1.00
Cuba,Population living in slums (% of urban population),,
Curacao,Population living in slums (% of urban population),,
Cayman Islands,Population living in slums (% of urban population),,
Cyprus,Population living in slums (% of urban population),,
Czech Republic,Population living in slums (% of urban population),,
Germany,Population living in slums (% of urban population),,
Djibouti,Population living in slums (% of urban population),65.60,8.00
Dominica,Population living in slums (% of urban population),16.60,2.00
Denmark,Population living in slums (% of urban population),,
Dominican Republic,Population living in slums (% of urban population),12.10,2.00
Algeria,Population living in slums (% of urban population),11.80,1.00
Ecuador,Population living in slums (% of urban population),36.00,5.00
Egypt,Population living in slums (% of urban population),10.60,1.00
Eritrea,Population living in slums (% of urban population),69.90,9.00
Spain,Population living in slums (% of urban population),,
Estonia,Population living in slums (% of urban population),,
Ethiopia,Population living in slums (% of urban population),73.90,9.00
Finland,Population living in slums (% of urban population),,
Fiji,Population living in slums (% of urban population),,
France,Population living in slums (% of urban population),,
Faeroe Islands,Population living in slums (% of urban population),,
Gabon,Population living in slums (% of urban population),37.00,5.00
United Kingdom,Population living in slums (% of urban population),,
Georgia,Population living in slums (% of urban population),,
Ghana,Population living in slums (% of urban population),37.90,5.00
Gibraltar,Population living in slums (% of urban population),,
Guinea,Population living in slums (% of urban population),43.30,6.00
Gambia,Population living in slums (% of urban population),34.80,5.00
Guinea-Bissau,Population living in slums (% of urban population),82.30,10.00
Equatorial Guinea,Population living in slums (% of urban population),66.20,9.00
Greece,Population living in slums (% of urban population),,
Grenada,Population living in slums (% of urban population),6.00,1.00
Greenland,Population living in slums (% of urban population),,
Guatemala,Population living in slums (% of urban population),34.50,5.00
Guam,Population living in slums (% of urban population),,
Guyana,Population living in slums (% of urban population),33.10,4.00
Honduras,Population living in slums (% of urban population),27.50,4.00
Croatia,Population living in slums (% of urban population),,
Haiti,Population living in slums (% of urban population),74.40,10.00
Hungary,Population living in slums (% of urban population),,
Indonesia,Population living in slums (% of urban population),21.80,3.00
Isle of Man,Population living in slums (% of urban population),,
India,Population living in slums (% of urban population),24.00,3.00
Ireland,Population living in slums (% of urban population),,
Iran,Population living in slums (% of urban population),30.30,4.00
Iraq,Population living in slums (% of urban population),47.20,6.00
Iceland,Population living in slums (% of urban population),,
Israel,Population living in slums (% of urban population),,
Italy,Population living in slums (% of urban population),,
Jamaica,Population living in slums (% of urban population),60.50,8.00
Jordan,Population living in slums (% of urban population),12.90,2.00
Japan,Population living in slums (% of urban population),,
Kazakhstan,Population living in slums (% of urban population),,
Kenya,Population living in slums (% of urban population),56.00,8.00
Kyrgyzstan,Population living in slums (% of urban population),,
Cambodia,Population living in slums (% of urban population),55.10,7.00
Saint Kitts and Nevis,Population living in slums (% of urban population),,
South Korea,Population living in slums (% of urban population),,
Kuwait,Population living in slums (% of urban population),,
Laos,Population living in slums (% of urban population),31.40,4.00
Lebanon,Population living in slums (% of urban population),53.10,7.00
Liberia,Population living in slums (% of urban population),65.70,9.00
Libya,Population living in slums (% of urban population),35.20,5.00
Saint Lucia,Population living in slums (% of urban population),11.90,2.00
Liechtenstein,Population living in slums (% of urban population),,
Sri Lanka,Population living in slums (% of urban population),24.80,3.00
Lithuania,Population living in slums (% of urban population),,
Luxembourg,Population living in slums (% of urban population),,
Latvia,Population living in slums (% of urban population),,
Morocco,Population living in slums (% of urban population),13.10,2.00
Monaco,Population living in slums (% of urban population),,
Moldova,Population living in slums (% of urban population),,
Madagascar,Population living in slums (% of urban population),77.20,10.00
Maldives,Population living in slums (% of urban population),,
Mexico,Population living in slums (% of urban population),11.10,1.00
Macedonia,Population living in slums (% of urban population),,
Mali,Population living in slums (% of urban population),56.30,8.00
Malta,Population living in slums (% of urban population),,
Myanmar,Population living in slums (% of urban population),41.00,6.00
Montenegro,Population living in slums (% of urban population),,
Mongolia,Population living in slums (% of urban population),42.70,6.00
Mariana Islands,Population living in slums (% of urban population),,
Mozambique,Population living in slums (% of urban population),80.30,10.00
Mauritania,Population living in slums (% of urban population),79.90,10.00
Mauritius,Population living in slums (% of urban population),,
Malaysia,Population living in slums (% of urban population),,
Namibia,Population living in slums (% of urban population),33.20,5.00
New Caledonia,Population living in slums (% of urban population),,
Niger,Population living in slums (% of urban population),70.10,9.00
Nigeria,Population living in slums (% of urban population),50.20,6.00
Nicaragua,Population living in slums (% of urban population),45.50,6.00
Netherlands,Population living in slums (% of urban population),,
Norway,Population living in slums (% of urban population),,
Nepal,Population living in slums (% of urban population),54.30,7.00
New Zealand,Population living in slums (% of urban population),,
Oman,Population living in slums (% of urban population),60.50,8.00
Pakistan,Population living in slums (% of urban population),45.50,6.00
Panama,Population living in slums (% of urban population),25.80,4.00
Peru,Population living in slums (% of urban population),34.20,5.00
Philippines,Population living in slums (% of urban population),38.30,5.00
Papua New Guinea,Population living in slums (% of urban population),,
Poland,Population living in slums (% of urban population),,
Puerto Rico,Population living in slums (% of urban population),,
North Korea,Population living in slums (% of urban population),68.50,9.00
Portugal,Population living in slums (% of urban population),,
Paraguay,Population living in slums (% of urban population),17.60,2.00
Palestine,Population living in slums (% of urban population),,
French Polynesia,Population living in slums (% of urban population),,
Qatar,Population living in slums (% of urban population),,
Romania,Population living in slums (% of urban population),,
Russia,Population living in slums (% of urban population),,
Rwanda,Population living in slums (% of urban population),53.20,7.00
Saudi Arabia,Population living in slums (% of urban population),18.00,3.00
Sudan,Population living in slums (% of urban population),91.60,10.00
Senegal,Population living in slums (% of urban population),39.40,6.00
Singapore,Population living in slums (% of urban population),,
Sierra Leone,Population living in slums (% of urban population),75.60,10.00
El Salvador,Population living in slums (% of urban population),28.90,4.00
San Marino,Population living in slums (% of urban population),,
Somalia,Population living in slums (% of urban population),73.60,9.00
Serbia,Population living in slums (% of urban population),,
South Sudan,Population living in slums (% of urban population),95.60,10.00
Suriname,Population living in slums (% of urban population),7.30,1.00
Slovakia,Population living in slums (% of urban population),,
Slovenia,Population living in slums (% of urban population),,
Sweden,Population living in slums (% of urban population),,
Swaziland,Population living in slums (% of urban population),32.70,4.00
Sint Maarten (Dutch part),Population living in slums (% of urban population),,
Seychelles,Population living in slums (% of urban population),,
Syria,Population living in slums (% of urban population),19.30,3.00
Turks and Caicos Islands,Population living in slums (% of urban population),,
Chad,Population living in slums (% of urban population),88.20,10.00
Togo,Population living in slums (% of urban population),51.20,7.00
Thailand,Population living in slums (% of urban population),25.00,3.00
Timor,Population living in slums (% of urban population),,
Trinidad and Tobago,Population living in slums (% of urban population),24.70,3.00
Tunisia,Population living in slums (% of urban population),8.00,1.00
Turkey,Population living in slums (% of urban population),11.90,2.00
Tanzania,Population living in slums (% of urban population),50.70,7.00
Uganda,Population living in slums (% of urban population),53.60,7.00
Ukraine,Population living in slums (% of urban population),,
Uruguay,Population living in slums (% of urban population),,
United States,Population living in slums (% of urban population),,
Uzbekistan,Population living in slums (% of urban population),,
Saint Vincent and the Grenadines,Population living in slums (% of urban population),,
Venezuela,Population living in slums (% of urban population),32.00,4.00
British Virgin Islands,Population living in slums (% of urban population),,
United States Virgin Islands,Population living in slums (% of urban population),,
Vietnam,Population living in slums (% of urban population),27.20,4.00
Kosovo,Population living in slums (% of urban population),,
South Africa,Population living in slums (% of urban population),23.00,3.00
Zambia,Population living in slums (% of urban population),54.00,7.00
Zimbabwe,Population living in slums (% of urban population),25.10,3.00
Aruba,Population ages 0-14 (% of total population),17.80,3.00
Afghanistan,Population ages 0-14 (% of total population),43.09,10.00
Angola,Population ages 0-14 (% of total population),46.81,10.00
Albania,Population ages 0-14 (% of total population),17.67,3.00
Andorra,Population ages 0-14 (% of total population),,
United Arab Emirates,Population ages 0-14 (% of total population),14.60,1.00
Argentina,Population ages 0-14 (% of total population),24.76,6.00
Armenia,Population ages 0-14 (% of total population),20.63,4.00
Antigua and Barbuda,Population ages 0-14 (% of total population),22.08,4.00
Australia,Population ages 0-14 (% of total population),19.19,4.00
Austria,Population ages 0-14 (% of total population),14.30,1.00
Azerbaijan,Population ages 0-14 (% of total population),23.37,5.00
Burundi,Population ages 0-14 (% of total population),45.50,10.00
Belgium,Population ages 0-14 (% of total population),17.06,3.00
Benin,Population ages 0-14 (% of total population),42.45,9.00
Burkina Faso,Population ages 0-14 (% of total population),44.95,10.00
Bangladesh,Population ages 0-14 (% of total population),27.71,6.00
Bulgaria,Population ages 0-14 (% of total population),14.60,1.00
Bahrain,Population ages 0-14 (% of total population),19.25,4.00
Bahamas,Population ages 0-14 (% of total population),22.48,5.00
Bosnia and Herzegovina,Population ages 0-14 (% of total population),14.77,1.00
Belarus,Population ages 0-14 (% of total population),16.87,3.00
Belize,Population ages 0-14 (% of total population),30.28,7.00
Bermuda,Population ages 0-14 (% of total population),,
Bolivia,Population ages 0-14 (% of total population),31.07,7.00
Brazil,Population ages 0-14 (% of total population),21.33,4.00
Barbados,Population ages 0-14 (% of total population),17.34,3.00
Brunei,Population ages 0-14 (% of total population),23.03,5.00
Bhutan,Population ages 0-14 (% of total population),25.77,6.00
Botswana,Population ages 0-14 (% of total population),34.11,8.00
Central African Republic,Population ages 0-14 (% of total population),44.29,10.00
Canada,Population ages 0-14 (% of total population),15.87,2.00
Switzerland,Population ages 0-14 (% of total population),14.91,2.00
Chile,Population ages 0-14 (% of total population),19.75,4.00
China,Population ages 0-14 (% of total population),17.88,3.00
Cote d'Ivoire,Population ages 0-14 (% of total population),41.94,9.00
Cameroon,Population ages 0-14 (% of total population),42.63,9.00
Democratic Republic of Congo,Population ages 0-14 (% of total population),46.17,10.00
Congo,Population ages 0-14 (% of total population),41.76,9.00
Colombia,Population ages 0-14 (% of total population),23.08,5.00
Cape Verde,Population ages 0-14 (% of total population),28.78,7.00
Costa Rica,Population ages 0-14 (% of total population),21.32,4.00
Cuba,Population ages 0-14 (% of total population),16.21,2.00
Curacao,Population ages 0-14 (% of total population),18.88,4.00
Cayman Islands,Population ages 0-14 (% of total population),,
Cyprus,Population ages 0-14 (% of total population),16.79,3.00
Czech Republic,Population ages 0-14 (% of total population),15.59,2.00
Germany,Population ages 0-14 (% of total population),13.62,1.00
Djibouti,Population ages 0-14 (% of total population),29.57,7.00
Dominica,Population ages 0-14 (% of total population),,
Denmark,Population ages 0-14 (% of total population),16.46,2.00
Dominican Republic,Population ages 0-14 (% of total population),27.98,6.00
Algeria,Population ages 0-14 (% of total population),30.15,7.00
Ecuador,Population ages 0-14 (% of total population),28.03,7.00
Egypt,Population ages 0-14 (% of total population),33.80,8.00
Eritrea,Population ages 0-14 (% of total population),40.18,9.00
Spain,Population ages 0-14 (% of total population),14.67,1.00
Estonia,Population ages 0-14 (% of total population),16.36,2.00
Ethiopia,Population ages 0-14 (% of total population),40.78,9.00
Finland,Population ages 0-14 (% of total population),16.15,2.00
Fiji,Population ages 0-14 (% of total population),29.51,7.00
France,Population ages 0-14 (% of total population),17.96,3.00
Faeroe Islands,Population ages 0-14 (% of total population),,
Gabon,Population ages 0-14 (% of total population),37.03,8.00
United Kingdom,Population ages 0-14 (% of total population),17.68,3.00
Georgia,Population ages 0-14 (% of total population),19.80,4.00
Ghana,Population ages 0-14 (% of total population),37.60,8.00
Gibraltar,Population ages 0-14 (% of total population),,
Guinea,Population ages 0-14 (% of total population),43.85,10.00
Gambia,Population ages 0-14 (% of total population),44.27,10.00
Guinea-Bissau,Population ages 0-14 (% of total population),42.34,9.00
Equatorial Guinea,Population ages 0-14 (% of total population),37.12,8.00
Greece,Population ages 0-14 (% of total population),14.07,1.00
Grenada,Population ages 0-14 (% of total population),23.56,5.00
Greenland,Population ages 0-14 (% of total population),,
Guatemala,Population ages 0-14 (% of total population),34.44,8.00
Guam,Population ages 0-14 (% of total population),24.46,5.00
Guyana,Population ages 0-14 (% of total population),28.21,7.00
Honduras,Population ages 0-14 (% of total population),31.74,8.00
Croatia,Population ages 0-14 (% of total population),14.51,1.00
Haiti,Population ages 0-14 (% of total population),33.24,8.00
Hungary,Population ages 0-14 (% of total population),14.41,1.00
Indonesia,Population ages 0-14 (% of total population),26.55,6.00
Isle of Man,Population ages 0-14 (% of total population),,
India,Population ages 0-14 (% of total population),27.05,6.00
Ireland,Population ages 0-14 (% of total population),21.41,4.00
Iran,Population ages 0-14 (% of total population),24.48,5.00
Iraq,Population ages 0-14 (% of total population),38.39,8.00
Iceland,Population ages 0-14 (% of total population),19.83,4.00
Israel,Population ages 0-14 (% of total population),27.93,6.00
Italy,Population ages 0-14 (% of total population),13.33,1.00
Jamaica,Population ages 0-14 (% of total population),23.75,5.00
Jordan,Population ages 0-14 (% of total population),34.25,8.00
Japan,Population ages 0-14 (% of total population),12.70,1.00
Kazakhstan,Population ages 0-14 (% of total population),28.46,7.00
Kenya,Population ages 0-14 (% of total population),39.78,9.00
Kyrgyzstan,Population ages 0-14 (% of total population),32.35,8.00
Cambodia,Population ages 0-14 (% of total population),31.20,7.00
Saint Kitts and Nevis,Population ages 0-14 (% of total population),,
South Korea,Population ages 0-14 (% of total population),12.97,1.00
Kuwait,Population ages 0-14 (% of total population),21.54,4.00
Laos,Population ages 0-14 (% of total population),32.60,8.00
Lebanon,Population ages 0-14 (% of total population),26.10,6.00
Liberia,Population ages 0-14 (% of total population),41.12,9.00
Libya,Population ages 0-14 (% of total population),28.32,7.00
Saint Lucia,Population ages 0-14 (% of total population),18.53,3.00
Liechtenstein,Population ages 0-14 (% of total population),,
Sri Lanka,Population ages 0-14 (% of total population),24.20,5.00
Lithuania,Population ages 0-14 (% of total population),14.88,1.00
Luxembourg,Population ages 0-14 (% of total population),15.88,2.00
Latvia,Population ages 0-14 (% of total population),16.00,2.00
Morocco,Population ages 0-14 (% of total population),27.21,6.00
Monaco,Population ages 0-14 (% of total population),,
Moldova,Population ages 0-14 (% of total population),15.86,2.00
Madagascar,Population ages 0-14 (% of total population),40.67,9.00
Maldives,Population ages 0-14 (% of total population),20.15,4.00
Mexico,Population ages 0-14 (% of total population),26.56,6.00
Macedonia,Population ages 0-14 (% of total population),16.52,2.00
Mali,Population ages 0-14 (% of total population),47.54,10.00
Malta,Population ages 0-14 (% of total population),14.28,1.00
Myanmar,Population ages 0-14 (% of total population),26.37,6.00
Montenegro,Population ages 0-14 (% of total population),18.21,3.00
Mongolia,Population ages 0-14 (% of total population),30.41,7.00
Mariana Islands,Population ages 0-14 (% of total population),,
Mozambique,Population ages 0-14 (% of total population),44.67,10.00
Mauritania,Population ages 0-14 (% of total population),40.08,9.00
Mauritius,Population ages 0-14 (% of total population),17.79,3.00
Malaysia,Population ages 0-14 (% of total population),24.00,5.00
Namibia,Population ages 0-14 (% of total population),36.91,8.00
New Caledonia,Population ages 0-14 (% of total population),22.74,5.00
Niger,Population ages 0-14 (% of total population),49.98,10.00
Nigeria,Population ages 0-14 (% of total population),43.87,10.00
Nicaragua,Population ages 0-14 (% of total population),30.20,7.00
Netherlands,Population ages 0-14 (% of total population),16.11,2.00
Norway,Population ages 0-14 (% of total population),17.55,3.00
Nepal,Population ages 0-14 (% of total population),30.41,7.00
New Zealand,Population ages 0-14 (% of total population),19.65,4.00
Oman,Population ages 0-14 (% of total population),22.25,5.00
Pakistan,Population ages 0-14 (% of total population),35.27,8.00
Panama,Population ages 0-14 (% of total population),27.06,6.00
Peru,Population ages 0-14 (% of total population),25.79,6.00
Philippines,Population ages 0-14 (% of total population),30.96,7.00
Papua New Guinea,Population ages 0-14 (% of total population),35.82,8.00
Poland,Population ages 0-14 (% of total population),15.05,2.00
Puerto Rico,Population ages 0-14 (% of total population),16.84,3.00
North Korea,Population ages 0-14 (% of total population),20.20,4.00
Portugal,Population ages 0-14 (% of total population),13.46,1.00
Paraguay,Population ages 0-14 (% of total population),29.44,7.00
Palestine,Population ages 0-14 (% of total population),38.95,9.00
French Polynesia,Population ages 0-14 (% of total population),22.76,5.00
Qatar,Population ages 0-14 (% of total population),13.54,1.00
Romania,Population ages 0-14 (% of total population),15.53,2.00
Russia,Population ages 0-14 (% of total population),17.91,3.00
Rwanda,Population ages 0-14 (% of total population),39.98,9.00
Saudi Arabia,Population ages 0-14 (% of total population),25.04,6.00
Sudan,Population ages 0-14 (% of total population),40.51,9.00
Senegal,Population ages 0-14 (% of total population),43.06,10.00
Singapore,Population ages 0-14 (% of total population),12.28,1.00
Sierra Leone,Population ages 0-14 (% of total population),41.06,9.00
El Salvador,Population ages 0-14 (% of total population),27.13,6.00
San Marino,Population ages 0-14 (% of total population),,
Somalia,Population ages 0-14 (% of total population),46.58,10.00
Serbia,Population ages 0-14 (% of total population),15.69,2.00
South Sudan,Population ages 0-14 (% of total population),41.82,9.00
Suriname,Population ages 0-14 (% of total population),27.17,6.00
Slovakia,Population ages 0-14 (% of total population),15.45,2.00
Slovenia,Population ages 0-14 (% of total population),15.02,2.00
Sweden,Population ages 0-14 (% of total population),17.58,3.00
Swaziland,Population ages 0-14 (% of total population),38.11,8.00
Sint Maarten (Dutch part),Population ages 0-14 (% of total population),,
Seychelles,Population ages 0-14 (% of total population),23.64,5.00
Syria,Population ages 0-14 (% of total population),31.42,8.00
Turks and Caicos Islands,Population ages 0-14 (% of total population),,
Chad,Population ages 0-14 (% of total population),47.13,10.00
Togo,Population ages 0-14 (% of total population),41.33,9.00
Thailand,Population ages 0-14 (% of total population),17.09,3.00
Timor,Population ages 0-14 (% of total population),37.78,8.00
Trinidad and Tobago,Population ages 0-14 (% of total population),20.42,4.00
Tunisia,Population ages 0-14 (% of total population),24.17,5.00
Turkey,Population ages 0-14 (% of total population),24.65,5.00
Tanzania,Population ages 0-14 (% of total population),44.10,10.00
Uganda,Population ages 0-14 (% of total population),46.93,10.00
Ukraine,Population ages 0-14 (% of total population),15.81,2.00
Uruguay,Population ages 0-14 (% of total population),20.61,4.00
United States,Population ages 0-14 (% of total population),18.71,3.00
Uzbekistan,Population ages 0-14 (% of total population),28.69,7.00
Saint Vincent and the Grenadines,Population ages 0-14 (% of total population),22.54,5.00
Venezuela,Population ages 0-14 (% of total population),27.67,6.00
British Virgin Islands,Population ages 0-14 (% of total population),,
United States Virgin Islands,Population ages 0-14 (% of total population),19.71,4.00
Vietnam,Population ages 0-14 (% of total population),23.17,5.00
Kosovo,Population ages 0-14 (% of total population),,
South Africa,Population ages 0-14 (% of total population),29.08,7.00
Zambia,Population ages 0-14 (% of total population),44.94,10.00
Zimbabwe,Population ages 0-14 (% of total population),42.40,9.00
Aruba,Population ages 15-64 (% of total population),68.65,9.00
Afghanistan,Population ages 15-64 (% of total population),54.32,2.00
Angola,Population ages 15-64 (% of total population),50.97,1.00
Albania,Population ages 15-64 (% of total population),68.58,9.00
Andorra,Population ages 15-64 (% of total population),,
United Arab Emirates,Population ages 15-64 (% of total population),84.31,10.00
Argentina,Population ages 15-64 (% of total population),64.12,4.00
Armenia,Population ages 15-64 (% of total population),68.11,8.00
Antigua and Barbuda,Population ages 15-64 (% of total population),69.12,9.00
Australia,Population ages 15-64 (% of total population),65.15,6.00
Austria,Population ages 15-64 (% of total population),66.70,7.00
Azerbaijan,Population ages 15-64 (% of total population),70.44,10.00
Burundi,Population ages 15-64 (% of total population),52.25,1.00
Belgium,Population ages 15-64 (% of total population),64.16,5.00
Benin,Population ages 15-64 (% of total population),54.30,2.00
Burkina Faso,Population ages 15-64 (% of total population),52.64,1.00
Bangladesh,Population ages 15-64 (% of total population),67.14,8.00
Bulgaria,Population ages 15-64 (% of total population),64.38,5.00
Bahrain,Population ages 15-64 (% of total population),78.32,10.00
Bahamas,Population ages 15-64 (% of total population),70.26,10.00
Bosnia and Herzegovina,Population ages 15-64 (% of total population),68.76,9.00
Belarus,Population ages 15-64 (% of total population),68.29,8.00
Belize,Population ages 15-64 (% of total population),64.98,6.00
Bermuda,Population ages 15-64 (% of total population),,
Bolivia,Population ages 15-64 (% of total population),61.73,3.00
Brazil,Population ages 15-64 (% of total population),69.74,9.00
Barbados,Population ages 15-64 (% of total population),66.85,7.00
Brunei,Population ages 15-64 (% of total population),72.10,10.00
Bhutan,Population ages 15-64 (% of total population),68.23,8.00
Botswana,Population ages 15-64 (% of total population),61.66,3.00
Central African Republic,Population ages 15-64 (% of total population),52.88,1.00
Canada,Population ages 15-64 (% of total population),66.90,8.00
Switzerland,Population ages 15-64 (% of total population),66.47,7.00
Chile,Population ages 15-64 (% of total population),68.72,9.00
China,Population ages 15-64 (% of total population),71.20,10.00
Cote d'Ivoire,Population ages 15-64 (% of total population),55.20,2.00
Cameroon,Population ages 15-64 (% of total population),54.64,2.00
Democratic Republic of Congo,Population ages 15-64 (% of total population),50.82,1.00
Congo,Population ages 15-64 (% of total population),55.55,2.00
Colombia,Population ages 15-64 (% of total population),68.44,8.00
Cape Verde,Population ages 15-64 (% of total population),66.61,7.00
Costa Rica,Population ages 15-64 (% of total population),69.13,9.00
Cuba,Population ages 15-64 (% of total population),68.60,9.00
Curacao,Population ages 15-64 (% of total population),64.43,5.00
Cayman Islands,Population ages 15-64 (% of total population),,
Cyprus,Population ages 15-64 (% of total population),69.49,9.00
Czech Republic,Population ages 15-64 (% of total population),64.99,6.00
Germany,Population ages 15-64 (% of total population),64.92,5.00
Djibouti,Population ages 15-64 (% of total population),65.90,7.00
Dominica,Population ages 15-64 (% of total population),,
Denmark,Population ages 15-64 (% of total population),63.73,4.00
Dominican Republic,Population ages 15-64 (% of total population),64.94,5.00
Algeria,Population ages 15-64 (% of total population),63.49,4.00
Ecuador,Population ages 15-64 (% of total population),64.81,5.00
Egypt,Population ages 15-64 (% of total population),60.97,3.00
Eritrea,Population ages 15-64 (% of total population),55.74,2.00
Spain,Population ages 15-64 (% of total population),65.95,7.00
Estonia,Population ages 15-64 (% of total population),64.02,4.00
Ethiopia,Population ages 15-64 (% of total population),55.72,2.00
Finland,Population ages 15-64 (% of total population),62.13,4.00
Fiji,Population ages 15-64 (% of total population),65.04,6.00
France,Population ages 15-64 (% of total population),62.01,4.00
Faeroe Islands,Population ages 15-64 (% of total population),,
Gabon,Population ages 15-64 (% of total population),59.41,3.00
United Kingdom,Population ages 15-64 (% of total population),63.93,4.00
Georgia,Population ages 15-64 (% of total population),65.34,6.00
Ghana,Population ages 15-64 (% of total population),59.34,3.00
Gibraltar,Population ages 15-64 (% of total population),,
Guinea,Population ages 15-64 (% of total population),53.22,1.00
Gambia,Population ages 15-64 (% of total population),53.14,1.00
Guinea-Bissau,Population ages 15-64 (% of total population),54.84,2.00
Equatorial Guinea,Population ages 15-64 (% of total population),60.43,3.00
Greece,Population ages 15-64 (% of total population),64.27,5.00
